	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
349	Single Protein	MGYP003682974993		MGYP003682974993						7.19	7.19	90.65	1	1	1	1	1	1					78.38653403850022	16.08105041857733	73.36412625096229	Doubtful
350	Related Proteins	MGYP000092429082		MGYP000092429082,MGYP003685452375	MGYP003685452375					37.29	37.29	58.76	9	9	9	9	11	11	Oxidation of M (M196, M224)	Oxidation of M (2)			330.22412211963916	37.74233558080348	83.50202429149797	Confident
351	Related Proteins	MGYP003682754259		MGYP003682754259,MGYP003683109425,MGYP003683538567,MGYP003683615743,MGYP003684064465,MGYP003684127747,MGYP003685399163,MGYP003685469835,MGYP003685531983,MGYP003686041373,MGYP003686100407,MGYP003686486763,MGYP003686704629,MGYP003687957377,MGYP003688051133,MGYP003688305099,MGYP003690207931,MGYP003690250821,MGYP003690431559,MGYP003691001937,MGYP003691626135	MGYP003683109425,MGYP003683538567,MGYP003683615743,MGYP003684064465,MGYP003684127747,MGYP003685399163,MGYP003685469835,MGYP003685531983,MGYP003686041373,MGYP003686100407,MGYP003686486763,MGYP003686704629,MGYP003687957377,MGYP003688051133,MGYP003688305099,MGYP003690207931,MGYP003690250821,MGYP003690431559,MGYP003691001937,MGYP003691626135					8.8	8.8	42.4	1	1	1	1	1	1					90.61195677844981	13.2987128679694	73.36412625096229	Doubtful
352	Related Proteins	MGYP003683558629		MGYP003683558629,MGYP003683611607,MGYP003683743227,MGYP003684403859,MGYP003684964699,MGYP003685241179,MGYP003685544873,MGYP003685586181,MGYP003685726185,MGYP003686872267,MGYP003687423171,MGYP003688374035,MGYP003688530113,MGYP003688733651,MGYP003690295277,MGYP003690690231,MGYP003690943901,MGYP003691632865,MGYP003691738015	MGYP003683611607,MGYP003683743227,MGYP003684403859,MGYP003684964699,MGYP003685241179,MGYP003685544873,MGYP003685586181,MGYP003685726185,MGYP003686872267,MGYP003687423171,MGYP003688374035,MGYP003688530113,MGYP003688733651,MGYP003690295277,MGYP003690690231,MGYP003690943901,MGYP003691632865,MGYP003691738015					4.71	4.71	90.2	2	2	2	2	2	2					85.88437642479155	27.63055791608765	81.60152526215442	Confident
353	Related Proteins	MGYP003687164961		MGYP003687164961,MGYP003689827583,MGYP003689877093	MGYP003689827583,MGYP003689877093					6.38	6.38	13.83	1	1	1	1	1	1					54.26760048819247	20.014547753055368	64.0	Doubtful
354	Related Proteins	MGYP003681992869		MGYP003681992869,MGYP003683227571,MGYP003684252701,MGYP003688427195,MGYP003690228043	MGYP003683227571,MGYP003684252701,MGYP003688427195,MGYP003690228043					14.22	14.22	62.07	2	2	2	2	2	2	Oxidation of M (M69, M83)	Oxidation of M (2)			91.45095637825025	24.576073101173037	66.02265156562292	Confident
355	Related Proteins	MGYP003681970797		MGYP003681970797,MGYP003683170905,MGYP003683785165,MGYP003684164071,MGYP003687045995	MGYP003683170905,MGYP003683785165,MGYP003684164071,MGYP003687045995					4.02	5.76	59.89	5	3	2	2	5	3	Oxidation of M (M314, M361)	Oxidation of M (2)			29.15201679117777	98.99465471479094	81.60152526215442	Confident
356	Related Proteins	MGYP000305403677		MGYP000305403677,MGYP000323951718,MGYP003682671637,MGYP003683422923,MGYP003683457163,MGYP003683496129,MGYP003684370699,MGYP003684420529,MGYP003684941153,MGYP003685774989,MGYP003687713129,MGYP003689362063,MGYP003690148199,MGYP003690369613,MGYP003691370497	MGYP000323951718,MGYP003682671637,MGYP003683422923,MGYP003683457163,MGYP003683496129,MGYP003684370699,MGYP003684420529,MGYP003684941153,MGYP003685774989,MGYP003687713129,MGYP003689362063,MGYP003690148199,MGYP003690369613,MGYP003691370497					5.41	5.41	69.75	1	1	1	1	1	1					34.41360030958546	33.68975937884841	73.36412625096229	Doubtful
357	Related Proteins	MGYP003683277079		MGYP003683277079,MGYP003684223271,MGYP003688471141	MGYP003684223271,MGYP003688471141					4.13	4.13	43.61	3	2	2	1	4	2	Oxidation of M (M59, M65)	Oxidation of M (2)			51.17462843964263	56.05836209914278	65.98006644518273	Confident
358	Related Proteins	MGYP003684704409		MGYP003684704409,MGYP003685634025,MGYP003686909225,MGYP003687948191,MGYP003689214251	MGYP003685634025,MGYP003686909225,MGYP003687948191,MGYP003689214251					12.4	12.4	77.69	1	1	1	1	1	1	Oxidation of M (M54, M57)	Oxidation of M (2)			105.07131158352156	13.47742083450142	73.36412625096229	Doubtful
359	Related Proteins	MGYP000695637023		MGYP000695637023,MGYP000969528421	MGYP000969528421					25.0	25.0	64.58	2	2	1	1	2	2					224.47052929206882	10.003223784555379	73.36412625096229	Confident
360	Related Proteins	MGYP000182414799		MGYP000182414799,MGYP003682112873,MGYP003682696433,MGYP003683210725,MGYP003683217385,MGYP003683300583,MGYP003683616655,MGYP003683791241,MGYP003683991387,MGYP003684031285,MGYP003684295591,MGYP003684890641,MGYP003685241179,MGYP003685305815,MGYP003685379639,MGYP003685480835,MGYP003685512757,MGYP003685544873,MGYP003685586181,MGYP003685594657,MGYP003685613747,MGYP003685726185,MGYP003685878633,MGYP003685936483,MGYP003685966177,MGYP003685981195,MGYP003686418747,MGYP003686470021,MGYP003686527661,MGYP003686872267,MGYP003686935203,MGYP003687423171,MGYP003687596291,MGYP003687790241,MGYP003687989531,MGYP003688006933,MGYP003688008399,MGYP003688060733,MGYP003688435901,MGYP003688450227,MGYP003688556151,MGYP003688647465,MGYP003688733651,MGYP003688828253,MGYP003688850395,MGYP003689027393,MGYP003689049075,MGYP003689140825,MGYP003689452449,MGYP003689484171,MGYP003689633579,MGYP003689648995,MGYP003689972559,MGYP003690295277,MGYP003690310619,MGYP003690430029,MGYP003690690231,MGYP003690943901,MGYP003690982325,MGYP003691060619,MGYP003691434949,MGYP003691546191,MGYP003691583319,MGYP003691632865,MGYP003691738015,MGYP003692029765,MGYP003692184543	MGYP003682112873,MGYP003682696433,MGYP003683210725,MGYP003683217385,MGYP003683300583,MGYP003683616655,MGYP003683791241,MGYP003683991387,MGYP003684031285,MGYP003684295591,MGYP003684890641,MGYP003685241179,MGYP003685305815,MGYP003685379639,MGYP003685480835,MGYP003685512757,MGYP003685544873,MGYP003685586181,MGYP003685594657,MGYP003685613747,MGYP003685726185,MGYP003685878633,MGYP003685936483,MGYP003685966177,MGYP003685981195,MGYP003686418747,MGYP003686470021,MGYP003686527661,MGYP003686872267,MGYP003686935203,MGYP003687423171,MGYP003687596291,MGYP003687790241,MGYP003687989531,MGYP003688006933,MGYP003688008399,MGYP003688060733,MGYP003688435901,MGYP003688450227,MGYP003688556151,MGYP003688647465,MGYP003688733651,MGYP003688828253,MGYP003688850395,MGYP003689027393,MGYP003689049075,MGYP003689140825,MGYP003689452449,MGYP003689484171,MGYP003689633579,MGYP003689648995,MGYP003689972559,MGYP003690295277,MGYP003690310619,MGYP003690430029,MGYP003690690231,MGYP003690943901,MGYP003690982325,MGYP003691060619,MGYP003691434949,MGYP003691546191,MGYP003691583319,MGYP003691632865,MGYP003691738015,MGYP003692029765,MGYP003692184543					3.5	3.5	74.64	1	1	1	1	1	1					31.757888388588515	36.62334596532868	73.36412625096229	Doubtful
361	Related Proteins	MGYP000508204151		MGYP000508204151,MGYP003682509443,MGYP003683803867,MGYP003683830379,MGYP003684189675,MGYP003686994071,MGYP003692448351,MGYP003692451915	MGYP003682509443,MGYP003683803867,MGYP003683830379,MGYP003684189675,MGYP003686994071,MGYP003692448351,MGYP003692451915					10.0	10.0	73.33	3	3	1	1	3	3	Oxidation of M (M184)	Oxidation of M (1)			90.88990756611375	39.829773611133014	73.36412625096229	Confident
362	Related Proteins	MGYP000436008959		MGYP000436008959,MGYP003684119419,MGYP003684125937,MGYP003684139841,MGYP003686512987,MGYP003687530901,MGYP003689837597	MGYP003684119419,MGYP003684125937,MGYP003684139841,MGYP003686512987,MGYP003687530901,MGYP003689837597					6.1	6.1	81.95	2	2	1	1	2	2	Oxidation of M (M361)	Oxidation of M (1)			54.56742148536479	44.59965944027193	73.36412625096229	Confident
363	Related Proteins	MGYP003682224257		MGYP003682224257,MGYP003682233889,MGYP003682819009,MGYP003682980321,MGYP003683336049,MGYP003683339195,MGYP003683387819,MGYP003683523811,MGYP003683800181,MGYP003683866521,MGYP003684059257,MGYP003684152927,MGYP003684512867,MGYP003684637185,MGYP003684662135,MGYP003684749703,MGYP003684895633,MGYP003685690503,MGYP003686504853,MGYP003687570001,MGYP003687736627,MGYP003688142973,MGYP003688197607,MGYP003688384389,MGYP003688590879,MGYP003689034915,MGYP003689040975,MGYP003689103485,MGYP003689228721,MGYP003689335955,MGYP003689640107,MGYP003689827969,MGYP003690211311,MGYP003690284311,MGYP003690385493,MGYP003690385943,MGYP003690599283,MGYP003690797815,MGYP003690858879,MGYP003690865311,MGYP003690958885,MGYP003691100277,MGYP003691378401,MGYP003691493667,MGYP003691536597,MGYP003691620707,MGYP003691704641	MGYP003682233889,MGYP003682819009,MGYP003682980321,MGYP003683336049,MGYP003683339195,MGYP003683387819,MGYP003683523811,MGYP003683800181,MGYP003683866521,MGYP003684059257,MGYP003684152927,MGYP003684512867,MGYP003684637185,MGYP003684662135,MGYP003684749703,MGYP003684895633,MGYP003685690503,MGYP003686504853,MGYP003687570001,MGYP003687736627,MGYP003688142973,MGYP003688197607,MGYP003688384389,MGYP003688590879,MGYP003689034915,MGYP003689040975,MGYP003689103485,MGYP003689228721,MGYP003689335955,MGYP003689640107,MGYP003689827969,MGYP003690211311,MGYP003690284311,MGYP003690385493,MGYP003690385943,MGYP003690599283,MGYP003690797815,MGYP003690858879,MGYP003690865311,MGYP003690958885,MGYP003691100277,MGYP003691378401,MGYP003691493667,MGYP003691536597,MGYP003691620707,MGYP003691704641					4.47	4.47	87.4	1	1	1	1	1	1	Oxidation of M (M53)	Oxidation of M (1)			45.93815483186525	27.095836002009257	73.36412625096229	Doubtful
364	Related Proteins	MGYP003682239109		MGYP003682239109,MGYP003685367683,MGYP003685793433,MGYP003686865581,MGYP003689747479,MGYP003690158387	MGYP003685367683,MGYP003685793433,MGYP003686865581,MGYP003689747479,MGYP003690158387					4.33	4.33	89.78	1	1	1	1	1	1	Oxidation of M (M278)	Oxidation of M (1)			34.057597547762164	34.44477232263122	64.0	Doubtful
365	Related Proteins	MGYP000080988105		MGYP000080988105,MGYP000085195436,MGYP000187287534,MGYP000202676019,MGYP000247301219,MGYP000262034526,MGYP000332797490,MGYP000352603975,MGYP000362420614,MGYP001484458994,MGYP003682019025,MGYP003682103793,MGYP003682227323,MGYP003683067987,MGYP003684117099,MGYP003686428007,MGYP003686447461,MGYP003687055613,MGYP003689823665,MGYP003691025765	MGYP000085195436,MGYP000187287534,MGYP000202676019,MGYP000247301219,MGYP000262034526,MGYP000332797490,MGYP000352603975,MGYP000362420614,MGYP001484458994,MGYP003682019025,MGYP003682103793,MGYP003682227323,MGYP003683067987,MGYP003684117099,MGYP003686428007,MGYP003686447461,MGYP003687055613,MGYP003689823665,MGYP003691025765					13.33	13.33	83.33	2	1	1	1	2	1					131.68937718468038	9.11592956399279	73.36412625096229	Doubtful
366	Related Proteins	MGYP001148917147		MGYP001148917147,MGYP003685507565,MGYP003687462015,MGYP003689071225,MGYP003689812331	MGYP003685507565,MGYP003687462015,MGYP003689071225,MGYP003689812331					14.08	14.08	66.2	2	2	1	1	2	2					74.07527466638271	22.90618279986831	73.36412625096229	Confident
367	Single Protein	MGYP003683025587		MGYP003683025587						20.48	20.48	44.58	1	1	1	1	3	3					379.8732034173472	9.36477645988264	83.50202429149797	Doubtful
368	Related Proteins	MGYP003684159733		MGYP003684159733,MGYP003685440479	MGYP003685440479					4.6	4.6	32.64	1	1	1	1	1	1					43.89645906156012	25.22613263509269	64.0	Doubtful
369	Related Proteins	MGYP000424207699		MGYP000424207699,MGYP000539303115,MGYP001126173744	MGYP000539303115,MGYP001126173744					15.87	15.87	88.89	1	1	1	1	1	1					176.36970158662547	6.8163293691836095	73.36412625096229	Doubtful
370	Single Protein	MGYP000214280698		MGYP000214280698						20.31	20.31	50.0	1	1	1	1	1	1					173.27549629563205	7.084519295211609	73.36412625096229	Doubtful
371	Single Protein	MGYP003685389035		MGYP003685389035						2.69	2.69	63.9	1	1	1	1	2	1	Oxidation of M (M434)	Oxidation of M (1)			24.69175822212757	45.85619431938504	83.50202429149797	Doubtful
372	Single Protein	MGYP900000095937		MGYP900000095937						84.19	86.82	69.61	66	62	61	57	96	87	Oxidation of M (M221, M262, M299, M342, M472, M496)	Oxidation of M (6)			1413.3902982321301	65.82539290353346	83.50202429149797	Confident
373	Related Proteins	MGYP001221753266		MGYP001221753266,MGYP001221813595,MGYP001269197929,MGYP003683415397,MGYP003685407811,MGYP003685450787,MGYP003685789223,MGYP003686142059,MGYP003686719069,MGYP003687204505,MGYP003687306491,MGYP003688161653,MGYP003688713231,MGYP003689022661,MGYP003689329527,MGYP003689977143,MGYP003690446945,MGYP003691059737,MGYP003691158995,MGYP003691216583,MGYP003691507319,MGYP003691576135,MGYP003691647183	MGYP001221813595,MGYP001269197929,MGYP003683415397,MGYP003685407811,MGYP003685450787,MGYP003685789223,MGYP003686142059,MGYP003686719069,MGYP003687204505,MGYP003687306491,MGYP003688161653,MGYP003688713231,MGYP003689022661,MGYP003689329527,MGYP003689977143,MGYP003690446945,MGYP003691059737,MGYP003691158995,MGYP003691216583,MGYP003691507319,MGYP003691576135,MGYP003691647183					42.86	42.86	85.71	1	1	1	1	1	1	Oxidation of M (M27)	Oxidation of M (1)			274.3528691347508	4.66644573438188	73.36412625096229	Doubtful
374	Related Proteins	MGYP003682193807		MGYP003682193807,MGYP003684226179,MGYP003685617631,MGYP003686743485,MGYP003686850859,MGYP003687089289,MGYP003688924863,MGYP003688961745,MGYP003691837087	MGYP003684226179,MGYP003685617631,MGYP003686743485,MGYP003686850859,MGYP003687089289,MGYP003688924863,MGYP003688961745,MGYP003691837087					4.79	4.79	61.02	1	1	1	1	1	1					35.023770527840526	33.157927741448844	73.36412625096229	Doubtful
375	Single Protein	MGYP003683104695		MGYP003683104695						12.54	15.67	59.87	4	3	4	3	4	3	Oxidation of M (M158)	Oxidation of M (1)			103.2408009287564	35.51652811670578	81.60152526215442	Confident
376	Related Proteins	MGYP000509850808		MGYP000509850808,MGYP003682266353,MGYP003682806655,MGYP003683147469,MGYP003683232021,MGYP003684603219,MGYP003686446521,MGYP003686863159,MGYP003687664633,MGYP003688981555,MGYP003689752341	MGYP003682266353,MGYP003682806655,MGYP003683147469,MGYP003683232021,MGYP003684603219,MGYP003686446521,MGYP003686863159,MGYP003687664633,MGYP003688981555,MGYP003689752341					3.88	3.88	71.71	1	1	1	1	1	1					41.325118363393415	26.79929137061266	64.0	Doubtful
377	Single Protein	MGYP003685223393		MGYP003685223393						14.12	14.12	44.63	1	1	1	1	1	1					58.09825464030016	17.61038721863234	64.0	Doubtful
378	Related Proteins	MGYP001138556583		MGYP001138556583,MGYP003682531801,MGYP003682806773,MGYP003683280505,MGYP003683591173,MGYP003683615513,MGYP003683834365,MGYP003683915273,MGYP003684212137,MGYP003684226179,MGYP003684325837,MGYP003684465183,MGYP003684822219,MGYP003685016715,MGYP003685466055,MGYP003685543987,MGYP003685661889,MGYP003685703845,MGYP003685882409,MGYP003685942013,MGYP003685958375,MGYP003686139325,MGYP003686182139,MGYP003686424087,MGYP003686525029,MGYP003686665257,MGYP003686792147,MGYP003686846923,MGYP003686893397,MGYP003686936907,MGYP003687089289,MGYP003687160149,MGYP003688413815,MGYP003688696333,MGYP003688924863,MGYP003689031961,MGYP003689036473,MGYP003689061569,MGYP003689519281,MGYP003689861353,MGYP003690210015,MGYP003690552353,MGYP003690576655,MGYP003690615953,MGYP003690685923,MGYP003691489905,MGYP003691535419,MGYP003691826513,MGYP003691923959,MGYP003692068615,MGYP003692073439,MGYP003692458121	MGYP003682531801,MGYP003682806773,MGYP003683280505,MGYP003683591173,MGYP003683615513,MGYP003683834365,MGYP003683915273,MGYP003684212137,MGYP003684226179,MGYP003684325837,MGYP003684465183,MGYP003684822219,MGYP003685016715,MGYP003685466055,MGYP003685543987,MGYP003685661889,MGYP003685703845,MGYP003685882409,MGYP003685942013,MGYP003685958375,MGYP003686139325,MGYP003686182139,MGYP003686424087,MGYP003686525029,MGYP003686665257,MGYP003686792147,MGYP003686846923,MGYP003686893397,MGYP003686936907,MGYP003687089289,MGYP003687160149,MGYP003688413815,MGYP003688696333,MGYP003688924863,MGYP003689031961,MGYP003689036473,MGYP003689061569,MGYP003689519281,MGYP003689861353,MGYP003690210015,MGYP003690552353,MGYP003690576655,MGYP003690615953,MGYP003690685923,MGYP003691489905,MGYP003691535419,MGYP003691826513,MGYP003691923959,MGYP003692068615,MGYP003692073439,MGYP003692458121					3.83	3.83	60.7	1	1	1	1	1	1					35.148410280608644	33.2119482021099	73.36412625096229	Doubtful
379	Single Protein	MGYP003684306195		MGYP003684306195						2.15	2.15	32.4	1	1	1	1	1	1					19.404132198135613	64.53300427071231	73.36412625096229	Doubtful
380	Single Protein	MGYP003683023143		MGYP003683023143						15.52	15.52	48.13	6	6	2	2	6	6	Oxidation of M (M358)	Oxidation of M (1)			116.32091667811704	56.59686657454827	81.60152526215442	Confident
381	Related Proteins	MGYP003682266353		MGYP003682266353,MGYP003682450907,MGYP003683147469,MGYP003683631649,MGYP003685885497,MGYP003686749659,MGYP003686863159,MGYP003687146545,MGYP003688084975,MGYP003688631999,MGYP003689752341	MGYP003682450907,MGYP003683147469,MGYP003683631649,MGYP003685885497,MGYP003686749659,MGYP003686863159,MGYP003687146545,MGYP003688084975,MGYP003688631999,MGYP003689752341					3.74	3.74	66.08	1	1	1	1	1	1					23.7420752135842	49.187969733174555	73.36412625096229	Doubtful
382	Related Proteins	MGYP000019651155		MGYP000019651155,MGYP000405646499,MGYP000607569889,MGYP002034834078,MGYP003423701624,MGYP003683662833,MGYP003683823371,MGYP003686272667,MGYP003688075181,MGYP003688132433,MGYP003690058317,MGYP003691685027,MGYP003692079705	MGYP000405646499,MGYP000607569889,MGYP002034834078,MGYP003423701624,MGYP003683662833,MGYP003683823371,MGYP003686272667,MGYP003688075181,MGYP003688132433,MGYP003690058317,MGYP003691685027,MGYP003692079705					9.71	9.71	76.7	1	1	1	1	1	1					125.02156061836745	11.418398442252322	73.36412625096229	Doubtful
383	Related Proteins	MGYP003684601681		MGYP003684601681,MGYP003685903479,MGYP003686677045,MGYP003688583175,MGYP003688920179,MGYP003688932313,MGYP003689891051,MGYP003690414531,MGYP003690605785,MGYP003690920061,MGYP003691342425,MGYP003691585177	MGYP003685903479,MGYP003686677045,MGYP003688583175,MGYP003688920179,MGYP003688932313,MGYP003689891051,MGYP003690414531,MGYP003690605785,MGYP003690920061,MGYP003691342425,MGYP003691585177					3.41	3.41	56.08	1	1	1	1	1	1					22.652989194612452	50.32955248490317	73.36412625096229	Doubtful
384	Single Protein	MGYP003685312339		MGYP003685312339						3.04	3.04	36.74	1	1	1	1	1	1	Oxidation of M (M155)	Oxidation of M (1)			19.03025681859543	65.00774093614896	73.36412625096229	Doubtful
385	Related Proteins	MGYP003686411935		MGYP003686411935,MGYP003687422393	MGYP003687422393					8.12	8.12	28.7	1	1	1	1	1	1					24.815837409173437	35.57836408931464	73.36412625096229	Doubtful
386	Related Proteins	MGYP001250812864		MGYP001250812864,MGYP003691655397	MGYP003691655397					2.39	2.39	81.25	1	1	1	1	1	1					20.749376657250057	57.26893816941779	73.36412625096229	Doubtful
387	Related Proteins	MGYP001487344965		MGYP001487344965,MGYP003687066461,MGYP003691727647	MGYP003687066461,MGYP003691727647					32.47	32.47	85.71	2	2	1	1	7	2					199.52935937072783	8.64364907454155	73.36412625096229	Confident
388	Related Proteins	MGYP000248712727		MGYP000248712727,MGYP002842829069,MGYP003686801945,MGYP003687273933,MGYP003688723091,MGYP003691350991	MGYP002842829069,MGYP003686801945,MGYP003687273933,MGYP003688723091,MGYP003691350991					11.26	11.26	31.79	1	1	1	1	1	1	Acetylation of protein N-term (M0)	Acetylation of protein N-term (1)	Oxidation of M (I9-{9 3})	Oxidation of M (1)	69.5542485130354	16.586167300997978	73.36412625096229	Doubtful
389	Related Proteins	MGYP000020223316		MGYP000020223316,MGYP000057046088,MGYP000408995733,MGYP000671941222,MGYP003681968991,MGYP003691237769	MGYP000057046088,MGYP000408995733,MGYP000671941222,MGYP003681968991,MGYP003691237769					8.4	8.4	39.69	1	1	1	1	1	1					79.65083297460507	14.24677927123152	64.0	Doubtful
390	Related Proteins	MGYP003683022979		MGYP003683022979,MGYP003686680587	MGYP003686680587					10.28	12.25	41.79	5	4	2	2	5	4	Oxidation of M (M339)	Oxidation of M (1)			106.69278244129197	50.165791550150956	79.61783439490446	Confident
